Abert's Towhee,ABTO,Melozone aberti,MELABE
Ochre-bellied Flycatcher,OBFL,Mionectes oleagineus,MIOOLE
Ochre-breasted Antpitta,OBAN,Grallaricula flavirostris,GRAFLA
Oilbird,OILB,Steatornis caripensis,STECAR
Olivaceous Flatbill,OLFL,Rhynchocyclus olivaceus,RHYOLI
Olivaceous Piculet,OLPI,Picumnus olivaceus,PICOLI
Olivaceous Woodcreeper,OLWO,Sittasomus griseicapillus,SITGRI
Olive Sparrow,OLSP,Arremonops rufivirgatus,ARRRUF
Olive Warbler,OLWA,Peucedramus taeniatus,PEUTAE
Olive-backed Euphonia,OBAE*,Euphonia gouldi,EUPGOU
Olive-backed Pipit,OBPI,Anthus hodgsoni,ANTHOD
Olive-backed Quail-Dove,OBQD,Leptotrygon veraguensis,LEPVEG*
Olive-capped Warbler,OCAW*,Setophaga pityophila,SETPIP*
Olive-crowned Yellowthroat,OCYE,Geothlypis semiflava,GEOSEM
Olive-sided Flycatcher,OSFL,Contopus cooperi,CONCOO
Olive-striped Flycatcher,OSTF*,Mionectes olivaceus,MIOOLI
Olive-throated Parakeet,OTPA,Eupsittula nana,EUPNAN
Olomao,OLOM,Myadestes lanaiensis,MYALAN
Omao,OMAO,Myadestes obscurus,MYAOBS
One-colored Becard,OCBE,Pachyramphus homochrous,PACHOM
Orange Oriole,ORAO*,Icterus auratus,ICTAUT*
Orange-bellied Euphonia,OBEE*,Euphonia xanthogaster,EUPXAN
Orange-bellied Trogon,OBTR,Trogon aurantiiventris,TROAUR
Orange-billed Nightingale-Thrush,OBNT,Catharus aurantiirostris,CATAUN*
Orange-billed Sparrow,OBSP,Arremon aurantiirostris,ARRAUR
Orange-breasted Bunting,OBBU,Passerina leclancherii,PASLEC
Orange-breasted Falcon,OBFA,Falco deiroleucus,FALDEI
Orange-cheeked Waxbill,OCHW*,Estrilda melpoda,ESTMEL
Orange-chinned Parakeet,OCPA,Brotogeris jugularis,BROJUG
Orange-collared Manakin,OCMA,Manacus aurantiacus,MANAUR
Orange-crowned Oriole,OCOR,Icterus auricapillus,ICTAUC*
Orange-crowned Warbler,OCWA,Oreothlypis celata,ORECEL
Orange-fronted Parakeet,OFPA,Eupsittula canicularis,EUPCAN
Orangequit,ORAN,Euneornis campestris,EUNCAM
Orchard Oriole,OROR,Icterus spurius,ICTSPU
Oregon Junco,ORJU,Junco h. oregonus,JUNHOR
Oriental Cuckoo,ORCU,Cuculus optatus,CUCOPT
Oriental Greenfinch,ORGR,Chloris sinica,CHLSIN
Oriental Plover,ORPL,Charadrius veredus,CHAVER
Oriental Pratincole,ORPR,Glareola maldivarum,GLAMAL
Oriental Scops-Owl,ORSO,Otus sunia,OTUSUN
Oriental Turtle-Dove,ORTD,Streptopelia orientalis,STRORI
Oriente Warbler,ORWA,Teretistris fornsi,TERFOR
Orinoco Goose,ORGO,Neochen jubata,NEOJUB
Ornate Hawk-Eagle,ORHE,Spizaetus ornatus,SPIORN
Osprey,OSPR,Pandion haliaetus,PANHAL
Ou,OU,Psittirostra psittacea,PSIPSI
Ovenbird,OVEN,Seiurus aurocapilla,SEIAUR
Pacific Antwren,PAAN,Myrmotherula pacifica,MYRPAC
Pacific Golden-Plover,PAGP,Pluvialis fulva,PLUFUL
Pacific Loon,PALO,Gavia pacifica,GAVPAC
Pacific Parakeet,PACP*,Psittacara strenuus,PSISTR
Pacific Screech-Owl,PASO,Megascops cooperi,MEGCOO
Pacific Wren,PAWR,Troglodytes pacificus,TROPAC
Pacific-slope Flycatcher,PSFL,Empidonax difficilis,EMPDIF
Paint-billed Crake,PBCR,Neocrex erythrops,NEOERY
Painted Bunting,PABU,Passerina ciris,PASCIR
Painted Parakeet,PAIP*,Pyrrhura picta,PYRPIC
Painted Redstart,PARE,Myioborus pictus,MYIPIC
Pale-bellied Hermit,PBHE,Phaethornis anthophilus,PHAANT
Pale-billed Woodpecker,PBIW*,Campephilus guatemalensis,CAMGUA
Pale-breasted Spinetail,PBSP,Synallaxis albescens,SYNALB
Pale-eyed Pygmy-Tyrant,PEPT,Lophotriccus pilaris,LOPPIR*
Pale-vented Pigeon,PVPI,Patagioenas cayennensis,PATCAY
Pale-vented Thrush,PVTH,Turdus obsoletus,TUROBL*
Palila,PALI,Loxioides bailleui,LOXBAI
Pallas's Bunting,PALB*,Emberiza pallasi,EMBPAL
Pallas's Leaf Warbler,PLEW*,Phylloscopus proregulus,PHYPRO
Palm Crow,PACR,Corvus palmarum,CORPAL
Palm Tanager,PALT*,Thraupis palmarum,THRPAL
Palm Warbler,PAWA,Setophaga palmarum,SETPAL
Palmchat,PALM,Dulus dominicus,DULDOM
Paltry Tyrannulet,PATY,Zimmerius vilissimus,ZIMVIL
Panama Flycatcher,PAFL,Myiarchus panamensis,MYIPAN
Parakeet Auklet,PAAU,Aethia psittacula,AETPSI
Parasitic Jaeger,PAJA,Stercorarius parasiticus,STEPAS*
Parkinson's Petrel,PAPE,Procellaria parkinsoni,PROPAR
Passenger Pigeon,PAPI,Ectopistes migratorius,ECTMIG
Passerini's Tanager,PAST*,Ramphocelus passerinii,RAMPAS
Pearl Kite,PEKI,Gampsonyx swainsonii,GAMSWA
Pearly-breasted Cuckoo,PBCU,Coccyzus euleri,COCEUL
Pearly-eyed Thrasher,PETH,Margarops fuscatus,MARFUS
Pechora Pipit,PEPI,Anthus gustavi,ANTGUS
Pectoral Sandpiper,PESA,Calidris melanotos,CALMET*
Peg-billed Finch,PBFI,Acanthidops bairdi,ACABAI
Pelagic Cormorant,PECO,Phalacrocorax pelagicus,PHAPEL
Peregrine Falcon,PEFA,Falco peregrinus,FALPER
Peruvian Booby,PEBO,Sula variegata,SULVAR
Phainopepla,PHAI,Phainopepla nitens,PHANIT
Pheasant Cuckoo,PHCU,Dromococcyx phasianellus,DROPHA
Philadelphia Vireo,PHVI,Vireo philadelphicus,VIRPHI
Pied Puffbird,PIPU,Notharchus tectus,NOTTEC
Pied Water-Tyrant,PIWT,Fluvicola pica,FLUPIC
Pied-billed Grebe,PBGR,Podilymbus podiceps,PODPOD
Pigeon Guillemot,PIGU,Cepphus columba,CEPCOL
Pileated Flycatcher,PILF*,Xenotriccus mexicanus,XENMEX
Pileated Woodpecker,PIWO,Dryocopus pileatus,DRYPIL
Pine Bunting,PIBU,Emberiza leucocephalos,EMBLEU
Pine Flycatcher,PINF*,Empidonax affinis,EMPAFF
Pine Grosbeak,PIGR,Pinicola enucleator,PINENU
Pine Siskin,PISI,Spinus pinus,SPIPIN
Pine Warbler,PIWA,Setophaga pinus,SETPIN
Pink-footed Goose,PFGO,Anser brachyrhynchus,ANSBRA
Pink-footed Shearwater,PFSH,Ardenna creatopus,ARDCRE
Pink-headed Warbler,PHWA,Cardellina versicolor,CARVER
Pink-sided Junco,PSJU,Junco h. mearnsi,JUNHME
Pinnated Bittern,PIBI,Botaurus pinnatus,BOTPIN
Pin-tailed Snipe,PTSN,Gallinago stenura,GALSTE
Pin-tailed Whydah,PTWH,Vidua macroura,VIDMAC
Pinyon Jay,PIJA,Gymnorhinus cyanocephalus,GYMCYA
Piping Plover,PIPL,Charadrius melodus,CHAMEL
Piratic Flycatcher,PIRF,Legatus leucophaius,LEGLEU
Pirre Chlorospingus,PICH,Chlorospingus inornatus,CHLINO
Pirre Hummingbird,PIHU,Goethalsia bella,GOEBEL
Pirre Warbler,PIRW*,Basileuterus ignotus,BASIGN
Plain Antvireo,PLAN,Dysithamnus mentalis,DYSMEN
Plain Chachalaca,PLCH,Ortalis vetula,ORTVET
Plain Pigeon,PLAP*,Patagioenas inornata,PATINO
Plain Xenops,PLXE,Xenops minutus,XENMIT*
Plain-breasted Ground-Dove,PBGD,Columbina minuta,COLMIN
Plain-brown Woodcreeper,PBRW*,Dendrocincla fuliginosa,DENFUA*
Plain-capped Starthroat,PCST,Heliomaster constantii,HELCON
Plain-colored Tanager,PCTA,Tangara inornata,TANINO
Plumbeous Hawk,PLHA,Cryptoleucopteryx plumbea,CRYPLU
Plumbeous Kite,PLKI,Ictinia plumbea,ICTPLU
Plumbeous Pigeon,PLUP*,Patagioenas plumbea,PATPLU
Plumbeous Vireo,PLVI,Vireo plumbeus,VIRPLU
Plumbeous Warbler,PLUW*,Setophaga plumbea,SETPLU
Pomarine Jaeger,POJA,Stercorarius pomarinus,STEPOM
Poo-uli,POUL,Melamprosops phaeosoma,MELPHA
Prairie Falcon,PRFA,Falco mexicanus,FALMEX
Prairie Warbler,PRAW*,Setophaga discolor,SETDIS
Prong-billed Barbet,PBBA,Semnornis frantzii,SEMFRA
Prothonotary Warbler,PROW*,Protonotaria citrea,PROCIT
Providence Petrel,PRPE,Pterodroma solandri,PTESOL
Puaiohi,PUAI,Myadestes palmeri,MYAPAL
Puerto Rican Bullfinch,PRBU,Loxigilla portoricensis,LOXPOR
Puerto Rican Emerald,PREM,Chlorostilbon maugaeus,CHLMAU
Puerto Rican Flycatcher,PRFL,Myiarchus antillarum,MYIANT
Puerto Rican Lizard-Cuckoo,PRLC,Coccyzus vieilloti,COCVIE
Puerto Rican Nightjar,PRNI,Antrostomus noctitherus,ANTNOC
Puerto Rican Oriole,PROR,Icterus portoricensis,ICTPOR
Puerto Rican Parakeet,PRPK*,Psittacara maugei,PSIMAU
Puerto Rican Parrot,PRPO*,Amazona vittata,AMAVIT
Puerto Rican Screech-Owl,PRSO,Megascops nudipes,MEGNUD
Puerto Rican Spindalis,PRSP,Spindalis portoricensis,SPIPOR
Puerto Rican Tanager,PRTA,Nesospingus speculiferus,NESSPE
Puerto Rican Tody,PRTO,Todus mexicanus,TODMEX
Puerto Rican Vireo,PRVI,Vireo latimeri,VIRLAT
Puerto Rican Woodpecker,PRWO,Melanerpes portoricensis,MELPOR
Puget Sound White-crowned Sparrow,PSWS,Zonotrichia l. pugetensis,ZONLPU
Purple Finch,PUFI,Haemorhous purpureus,HAEPUR
Purple Gallinule,PUGA,Porphyrio martinicus,PORMAR
Purple Heron,PUHE,Ardea purpurea,ARDPUR
Purple Honeycreeper,PUHO,Cyanerpes caeruleus,CYACAE
Purple Martin,PUMA,Progne subis,PROSUB
Purple Sandpiper,PUSA,Calidris maritima,CALMAR
Purple Swamphen,PUSW,Porphyrio porphyrio,PORPOP*
Purple-crowned Fairy,PCFA,Heliothryx barroti,HELBAR
Purple-throated Carib,PTCA,Eulampis jugularis,EULJUG
Purple-throated Fruitcrow,PTFR,Querula purpurata,QUEPUR
Purple-throated Mountain-gem,PTMG,Lampornis calolaemus,LAMCAL
Purple-throated Woodstar,PTWO,Calliphlox mitchellii,CALMIT
Purplish-backed Jay,PBJA,Cyanocorax beecheii,CYABEE
Purplish-backed Quail-Dove,PBQD,Zentrygon lawrencii,ZENLAW
Pygmy Nuthatch,PYNU,Sitta pygmaea,SITPYG
Pyrrhuloxia,PYRR,Cardinalis sinuatus,CARSIN
Razorbill,RAZO,Alca torda,ALCTOR
Red Avadavat,REAV,Amandava amandava,AMAAMN*
Red Crossbill,RECR,Loxia curvirostra,LOXCUR
Red Junglefowl,REJU,Gallus gallus,GALGAS*
Red Knot,REKN,Calidris canutus,CALCAN
Red Phalarope,REPH,Phalaropus fulicarius,PHAFUL
Red Siskin,RESI,Spinus cucullatus,SPICUC
Red Warbler,REWA,Cardellina rubra,CARRUA*
Red-and-green Macaw,RAGM,Ara chloropterus,ARACHL
Red-bellied Woodpecker,RBWO,Melanerpes carolinus,MELCAR
Red-billed Leiothrix,RBLE,Leiothrix lutea,LEILUT
Red-billed Pigeon,RBPI,Patagioenas flavirostris,PATFLA
Red-billed Scythebill,RBSC,Campylorhamphus trochilirostris,CAMTRO
Red-billed Tropicbird,RBTR,Phaethon aethereus,PHAAET
Red-breasted Blackbird,RBBL,Leistes militaris,LEIMIL
Red-breasted Chat,RBRC*,Granatellus venustus,GRAVEN
Red-breasted Merganser,RBME,Mergus serrator,MERSER
Red-breasted Nuthatch,RBNU,Sitta canadensis,SITCAN
Red-breasted Sapsucker,RBSA,Sphyrapicus ruber,SPHRUB
Red-capped Manakin,RCMA,Ceratopipra mentalis,CERMEN
Red-cheeked Cordonbleu,RCCO,Uraeginthus bengalus,URABEN
Red-cockaded Woodpecker,RCWO,Picoides borealis,PICBOR
Red-crested Cardinal,RCCA,Paroaria coronata,PARCOR
Red-crowned Ant-Tanager,RCAT,Habia rubica,HABRUB
Red-crowned Parrot,RCPA,Amazona viridigenalis,AMAVIG*
Red-crowned Woodpecker,RCRW*,Melanerpes rubricapillus,MELRUB
Reddish Egret,REEG,Egretta rufescens,EGRRUF
Red-eyed Vireo,REVI,Vireo olivaceus,VIROLI
Red-faced Cormorant,RFCO,Phalacrocorax urile,PHAURI
Red-faced Spinetail,RFSP,Cranioleuca erythrops,CRAERY
Red-faced Warbler,RFWA,Cardellina rubrifrons,CARRUF*
Red-flanked Bluetail,RFBL,Tarsiger cyanurus,TARCYA
Red-footed Booby,RFBO,Sula sula,SULSUL
Red-footed Falcon,RFFA,Falco vespertinus,FALVES
Red-fronted Parrotlet,RFPA,Touit costaricensis,TOUCOS
Redhead,REDH,Aythya americana,AYTAME
Red-headed Barbet,RHBA,Eubucco bourcierii,EUBBOU
Red-headed Tanager,RHTA,Piranga erythrocephala,PIRERY
Red-headed Woodpecker,RHWO,Melanerpes erythrocephalus,MELERY
Red-legged Honeycreeper,RLHO,Cyanerpes cyaneus,CYACYU*
Red-legged Kittiwake,RLKI,Rissa brevirostris,RISBRE
Red-legged Thrush,RLTH,Turdus plumbeus,TURPLU
Red-lored Parrot,RLPA,Amazona autumnalis,AMAAUT
Red-naped Sapsucker,RNSA,Sphyrapicus nuchalis,SPHNUC
Red-naped X Red-breasted Saps. Hybrid,RRSH,Sphyrapicus nuchalis x ruber,SPHNUR
Red-necked Grebe,RNGR,Podiceps grisegena,PODGRI
Red-necked Parrot,RNPA,Amazona arausiaca,AMAARA
Red-necked Phalarope,RNPH,Phalaropus lobatus,PHALOB
Red-necked Stint,RNST,Calidris ruficollis,CALRUF
Red-rumped Woodpecker,RRWO,Veniliornis kirkii,VENKIR
Red-shafted Flicker,RSFL,Colaptes a. cafer,COLACA
Red-shouldered Blackbird,RSBL,Agelaius assimilis,AGEASS
Red-shouldered Hawk,RSHA,Buteo lineatus,BUTLIN
Red-tailed Hawk,RTHA,Buteo jamaicensis,BUTJAM
Red-tailed Tropicbird,RTTR,Phaethon rubricauda,PHARUB
Red-throated Ant-Tanager,RTAT,Habia fuscicauda,HABFUS
Red-throated Caracara,RTCA,Ibycter americanus,IBYAME
Red-throated Loon,RTLO,Gavia stellata,GAVSTE
Red-throated Pipit,RTPI,Anthus cervinus,ANTCER
Red-vented Bulbul,RVBU,Pycnonotus cafer,PYCCAF
Red-whiskered Bulbul,RWBU,Pycnonotus jocosus,PYCJOC
Redwing,REDW,Turdus iliacus,TURILI
Red-winged Blackbird,RWBL,Agelaius phoeniceus,AGEPHO
Reed Bunting,REBU,Emberiza schoeniclus,EMBSCH
Resplendent Quetzal,REQU,Pharomachrus mocinno,PHAMOC
Rhinoceros Auklet,RHAU,Cerorhinca monocerata,CERMON
Ridgway's Hawk,RIHA,Buteo ridgwayi,BUTRID
Ridgway's Rail,RIRA,Rallus obsoletus,RALOBS
Ring-billed Gull,RBGU,Larus delawarensis,LARDEL
Ringed Kingfisher,RIKI,Megaceryle torquata,MEGTOR
Ringed Storm-Petrel,RISP,Oceanodroma hornbyi,OCEHOR
Ring-necked Duck,RNDU,Aythya collaris,AYTCOL
Ring-necked Pheasant,RNEP*,Phasianus colchicus,PHACOL
Ring-tailed Pigeon,RTAP*,Patagioenas caribaea,PATCAR
Riverside Wren,RIWR,Cantorchilus semibadius,CANSEM
Rivoli's Hummingbird,RIHU,Eugenes fulgens,EUGFUL
Roadside Hawk,ROHA,Rupornis magnirostris,RUPMAG
Rock Pigeon,ROPI,Columba livia,COLLIV
Rock Ptarmigan,ROPT,Lagopus muta,LAGMUT
Rock Sandpiper,ROSA,Calidris ptilocnemis,CALPTI
Rock Wren,ROWR,Salpinctes obsoletus,SALOBS
Rook,ROOK,Corvus frugilegus,CORFRU
Roseate Spoonbill,ROSP,Platalea ajaja,PLAAJA
Roseate Tern,ROST*,Sterna dougallii,STEDOU
Rose-bellied Bunting,RBBU,Passerina rositae,PASROS
Rose-breasted Grosbeak,RBGR,Pheucticus ludovicianus,PHELUD
Rose-ringed Parakeet,RRPA,Psittacula krameri,PSIKRA
Rose-throated Becard,RTBE,Pachyramphus aglaiae,PACAGL
Rose-throated Tanager,RTTA,Piranga roseogularis,PIRROS
Ross's Goose,ROGO,Anser rossii,ANSROS
Ross's Gull,ROGU,Rhodostethia rosea,RHSROS*
Rosy Thrush-Tanager,ROTT,Rhodinocichla rosea,RHNROS*
Rosy-faced Lovebird,RFLO,Agapornis roseicollis,AGAROS
Rough-legged Hawk,RLHA,Buteo lagopus,BUTLAG
Rough-legged Tyrannulet,RLTY,Phyllomyias burmeisteri,PHYBUR
Royal Flycatcher,ROFL,Onychorhynchus coronatus,ONYCOR
Royal Tern,ROYT*,Thalasseus maximus,THAMAX
Ruby-crowned Kinglet,RCKI,Regulus calendula,REGCAL
Ruby-throated Hummingbird,RTHU,Archilochus colubris,ARCCOL
Ruby-topaz Hummingbird,RTOH*,Chrysolampis mosquitus,CHRMOS
Ruddy Crake,RUCR,Laterallus ruber,LATRUB
Ruddy Duck,RUDU,Oxyura jamaicensis,OXYJAM
Ruddy Foliage-gleaner,RUFG,Clibanornis rubiginosus,CLIRUB
Ruddy Ground-Dove,RUGD,Columbina talpacoti,COLTAL
Ruddy Pigeon,RUDP*,Patagioenas subvinacea,PATSUB
Ruddy Quail-Dove,RUQD,Geotrygon montana,GEOMON
Ruddy Shelduck,RUSH,Tadorna ferruginea,TADFER
Ruddy Treerunner,RUTR,Margarornis rubiginosus,MARRUB
Ruddy Turnstone,RUTU,Arenaria interpres,AREINT
Ruddy Woodcreeper,RUWO,Dendrocincla homochroa,DENHOM
Ruddy-breasted Seedeater,RBSE,Sporophila minuta,SPOMIN
Ruddy-capped Nightingale-Thrush,RCNT,Catharus frantzii,CATFRA
Ruddy-tailed Flycatcher,RDTF*,Terenotriccus erythrurus,TERERY
Rufescent Tiger-Heron,RTHE,Tigrisoma lineatum,TIGLIN
Ruff,RUFF,Calidris pugnax,CALPUG
Ruffed Grouse,RUGR,Bonasa umbellus,BONUMB
Rufous Hummingbird,RUHU,Selasphorus rufus,SELRUF
Rufous Motmot,RMOT*,Baryphthengus martii,BARMAR
Rufous Mourner,RMOU*,Rhytipterna holerythra,RHYHOL
Rufous Nightjar,RUNI,Antrostomus rufus,ANTRUF
Rufous Piha,RUFP*,Lipaugus unirufus,LIPUNI
Rufous Sabrewing,RUSA,Campylopterus rufus,CAMRUS*
Rufous-and-white Wren,RAWW,Thryophilus rufalbus,THRRUL*
Rufous-backed Robin,RBRO,Turdus rufopalliatus,TURRUP*
Rufous-bellied Chachalaca,RBEC*,Ortalis wagleri,ORTWAG
Rufous-breasted Antthrush,RBAN,Formicarius rufipectus,FORRUF
Rufous-breasted Hermit,RBHE,Glaucis hirsutus,GLAHIR
Rufous-breasted Spinetail,RBSP,Synallaxis erythrothorax,SYNERY
Rufous-breasted Wren,RBSW*,Pheugopedius rutilus,PHERUT
Rufous-browed Peppershrike,RBPE,Cyclarhis gujanensis,CYCGUJ
Rufous-browed Tyrannulet,RBTY,Phylloscartes superciliaris,PHYSUP
Rufous-browed Wren,RBWW*,Troglodytes rufociliatus,TRORUC*
Rufous-capped Brushfinch,RCBR,Atlapetes pileatus,ATLPIL
Rufous-capped Warbler,RCWA,Basileuterus rufifrons,BASRUF
Rufous-collared Robin,RCRO,Turdus rufitorques,TURRUT*
Rufous-collared Sparrow,RCOS*,Zonotrichia capensis,ZONCAP
Rufous-crested Coquette,RCRC*,Lophornis delattrei,LOPDEL
Rufous-crowned Sparrow,RCSP,Aimophila ruficeps,AIMRUP*
Rufous-naped Wren,RNAW*,Campylorhynchus rufinucha,CAMRUN*
Rufous-necked Wood-Rail,RNWR,Aramides axillaris,ARAAXI
Rufous-rumped Antwren,RRAN,Euchrepomis callinota,EUCCAL
Rufous-sided Towhee,RSTO,Pipilo maculatus/erythr.,PIPMAE
Rufous-tailed Flycatcher,RFTF*,Myiarchus validus,MYIVAL
Rufous-tailed Hummingbird,RTAH*,Amazilia tzacatl,AMATZA
Rufous-tailed Jacamar,RTJA,Galbula ruficauda,GALRUF
Rufous-tailed Robin,RTRO,Luscinia sibilans,LUSSIB
Rufous-throated Solitaire,RTSO,Myadestes genibarbis,MYAGEN
Rufous-vented Chachalaca,RVCH,Ortalis ruficauda,ORTRUF
Rufous-vented Ground-Cuckoo,RVGC,Neomorphus geoffroyi,NEOGEO
Rufous-winged Antwren,RWAN,Herpsilochmus rufimarginatus,HERRUF
Rufous-winged Sparrow,RWSP,Peucaea carpalis,PEUCAR
Rufous-winged Tanager,RWTA,Tangara lavinia,TANLAV
Rufous-winged Woodpecker,RWWO,Piculus simplex,PICSIM
Russet Antshrike,RUAN,Thamnistes anabatinus,THAANA
Russet Nightingale-Thrush,RUNT,Catharus occidentalis,CATOCC
Russet-crowned Motmot,RCMO,Momotus mexicanus,MOMMEX
Russet-crowned Quail-Dove,RCQD,Zentrygon goldmani,ZENGOL
Russet-naped Wood-Rail,RSWR*,Aramides albiventris,ARAALB
Russet-winged Schiffornis,RWSC,Schiffornis stenorhyncha,SCHSTE
Rustic Bunting,RUBU,Emberiza rustica,EMBRUS
Rusty Blackbird,RUBL,Euphagus carolinus,EUPCAR
Rusty Sparrow,RUSP,Aimophila rufescens,AIMRUS*
Rusty-crowned Ground-Sparrow,RCGS,Melozone kieneri,MELKIE
Rusty-margined Flycatcher,RMFL,Myiozetetes cayanensis,MYICAY
Sabine's Gull,SAGU,Xema sabini,XEMSAB
Sad Flycatcher,SAFL,Myiarchus barbirostris,MYIBAR
Saffron Finch,SAFI,Sicalis flaveola,SICFLA
Saffron-headed Parrot,SHPA,Pyrilia pyrilia,PYRPYI*
Sage Sparrow,SAGS*,Artemisiospiza nevadensis/belli,ARTNEB
Sage Thrasher,SATH,Oreoscoptes montanus,OREMON
Sagebrush Sparrow,SABS*,Artemisiospiza nevadensis,ARTNEV
Saltmarsh Sparrow,SALS*,Ammodramus caudacutus,AMMCAU
Salvin's Albatross,SAAL,Thalassarche salvini,THASAL
San Andres Vireo,SAVI,Vireo caribaeus,VIRCAB*
San Blas Jay,SBJA,Cyanocorax sanblasianus,CYASAN
Sanderling,SAND,Calidris alba,CALALB
Sandhill Crane,SACR,Antigone canadensis,ANTCAN
Sandwich Tern,SATE,Thalasseus sandvicensis,THASAN
Sapayoa,SAPA,Sapayoa aenigma,SAPAEN
Sapphire-throated Hummingbird,SHTH*,Lepidopyga coeruleogularis,LEPCOE
Savanna Hawk,SAHA,Buteogallus meridionalis,BUTMER
Savannah Sparrow,SAVS*,Passerculus sandwichensis,PASSAN
Say's Phoebe,SAPH,Sayornis saya,SAYSAY
Scale-crested Pygmy-Tyrant,SCPT,Lophotriccus pileatus,LOPPIT*
Scaled Antpitta,SCAA*,Grallaria guatimalensis,GRAGUA
Scaled Pigeon,SCPI,Patagioenas speciosa,PATSPE
Scaled Quail,SCQU,Callipepla squamata,CALSQU
Scaly-breasted Hummingbird,SBRH*,Phaeochroa cuvierii,PHACUV
Scaly-breasted Munia,SBMU,Lonchura punctulata,LONPUN
Scaly-breasted Thrasher,SBTH,Allenia fusca,ALLFUC
Scaly-breasted Wren,SCBW*,Microcerculus marginatus,MICMAR
Scaly-naped Pigeon,SNPI,Patagioenas squamosa,PATSQU
Scaly-throated Foliage-gleaner,STFG,Anabacerthia variegaticeps,ANAVAR
Scaly-throated Leaftosser,STLE,Sclerurus guatemalensis,SCLGUA
Scarlet Ibis,SCIB,Eudocimus ruber,EUDRUB
Scarlet Macaw,SCMA,Ara macao,ARAMAC
Scarlet Tanager,SCTA,Piranga olivacea,PIROLI
Scarlet-browed Tanager,SBTA,Heterospingus xanthopygius,HETXAN
Scarlet-rumped Cacique,SRCA,Cacicus uropygialis,CACURO
Scarlet-thighed Dacnis,STDA,Dacnis venusta,DACVEN
Scintillant Hummingbird,SCHU,Selasphorus scintilla,SELSCI
Scissor-tailed Flycatcher,STFL,Tyrannus forficatus,TYRFOR
Scott's Oriole,SCOR,Icterus parisorum,ICTPAR
Scripps's Murrelet,SCMU,Synthliboramphus scrippsi,SYNSCR
Scrub Euphonia,SEUP*,Euphonia affinis,EUPAFF
Scrub Greenlet,SCRG*,Hylophilus flavipes,HYLFLA
Seaside Sparrow,SESP,Ammodramus maritimus,AMMMAR
Sedge Warbler,SEWA,Acrocephalus schoenobaenus,ACRSCH
Sedge Wren,SEWR,Cistothorus platensis,CISPLA
Semipalmated Plover,SEPL,Charadrius semipalmatus,CHASEM
Semipalmated Sandpiper,SESA,Calidris pusilla,CALPUS
Semiplumbeous Hawk,SEHA,Leucopternis semiplumbeus,LEUSEL*
Semper's Warbler,SEMW*,Leucopeza semperi,LEUSER*
Sepia-capped Flycatcher,SECF*,Leptopogon amaurocephalus,LEPAMA
Sharpbill,SHAR,Oxyruncus cristatus,OXYCRI
Sharp-shinned Hawk,SSHA,Accipiter striatus,ACCSTR
Sharp-tailed Grouse,STGR,Tympanuchus phasianellus,TYMPHA
Sharp-tailed Sandpiper,SPTS*,Calidris acuminata,CALACU
Sharp-tailed Sparrow,STSP,Ammodramus nelsoni/caudacut.,AMMNEC
Sharp-tailed Streamcreeper,STST,Lochmias nematura,LOCNEM
Shining Honeycreeper,SHHO,Cyanerpes lucidus,CYALUC
Shiny Cowbird,SHCO,Molothrus bonariensis,MOLBON
Short-billed Dowitcher,SBDO,Limnodromus griseus,LIMGRI
Short-billed Pigeon,SBPI,Patagioenas nigrirostris,PATNIG
Short-crested Coquette,SCCO,Lophornis brachylophus,LOPBRA
Short-eared Owl,SEOW,Asio flammeus,ASIFLA
Short-tailed Albatross,STAL,Phoebastria albatrus,PHOALB
Short-tailed Hawk,STHA,Buteo brachyurus,BUTBRA
Short-tailed Nighthawk,SHTN*,Lurocalis semitorquatus,LURSEM
Short-tailed Shearwater,SRTS*,Ardenna tenuirostris,ARDTEN
Short-tailed Swift,STSW,Chaetura brachyura,CHABRA
Siberian Accentor,SIAC,Prunella montanella,PRUMON
Siberian Blue Robin,SBRO,Luscinia cyane,LUSCYA
Siberian Rubythroat,SIRU,Luscinia calliope,LUSCAL
Sick's Swift,SISW,Chaetura meridionalis,CHAMER
Sierra Madre Sparrow,SMSP,Xenospiza baileyi,XENBAI
Silver-throated Tanager,STTA,Tangara icterocephala,TANICT
Silvery-fronted Tapaculo,SFTA,Scytalopus argentifrons,SCYARG
Silvery-throated Jay,STHJ*,Cyanolyca argentigula,CYAARG
Sinaloa Crow,SICR,Corvus sinaloae,CORSIN
Sinaloa Martin,SIMA,Progne sinaloae,PROSIN
Sinaloa Wren,SIWR,Thryophilus sinaloa,THRSIN
Singing Quail,SIQU,Dactylortyx thoracicus,DACTHO
Slate-colored Grosbeak,SCOG*,Saltator grossus,SALGRO
Slate-colored Junco,SCJU,Junco h. hyemalis,JUNHHY
Slate-colored Seedeater,SCSE,Sporophila schistacea,SPOSCH
Slate-colored Solitaire,SCSO,Myadestes unicolor,MYAUNI
Slate-headed Tody-Flycatcher,SHTF,Poecilotriccus sylvia,POESYL
Slate-throated Gnatcatcher,STGN,Polioptila schistaceigula,POLSCH
Slate-throated Redstart,STRE,Myioborus miniatus,MYIMIN
Slaty Antwren,SLAN,Myrmotherula schisticolor,MYRSCH
Slaty Finch,SLFI,Haplospiza rustica,HAPRUS
Slaty Flowerpiercer,SLFL,Diglossa plumbea,DIGPLU
Slaty Spinetail,SLSP,Synallaxis brachyura,SYNBRA
